Variable,Use
hist6_kol_ge2_streak_mean,Y
hist6_kol_ge2_streak_min,Y
hist6_kol_ge2_streak_std,Y
hist6_kol_ge2_streak_sum,Y
hist6_kol_ge3_count_max,Y
hist6_kol_ge3_count_mean,Y
hist6_kol_ge3_count_min,Y
hist6_kol_ge3_count_std,Y
hist6_kol_ge3_count_sum,Y
hist6_kol_ge3_streak_max,Y
hist6_kol_ge3_streak_mean,Y
hist6_kol_ge3_streak_min,Y
hist6_kol_ge3_streak_std,Y
hist6_kol_ge3_streak_sum,Y
hist6_kol_ge4_streak_max,Y
hist6_kol_ge4_streak_mean,Y
hist6_kol_ge4_streak_min,Y
hist6_kol_ge4_streak_std,Y
hist6_kol_ge4_streak_sum,Y
hist12_transition_improve_max,Y
hist12_transition_improve_mean,Y
hist12_transition_improve_min,Y
hist12_transition_improve_std,Y
hist12_transition_improve_sum,Y
hist12_transition_stable_max,Y
hist12_transition_stable_mean,Y
hist12_transition_stable_min,Y
hist12_transition_stable_std,Y
hist12_transition_stable_sum,Y
hist12_transition_worsen_max,Y
hist12_transition_worsen_mean,Y
hist12_transition_worsen_min,Y
hist12_transition_worsen_std,Y
hist12_transition_worsen_sum,Y
hist24_transition_improve_max,Y
hist24_transition_improve_mean,Y
hist24_transition_improve_min,Y
hist24_transition_improve_std,Y
hist24_transition_improve_sum,Y
hist24_transition_stable_max,Y
hist24_transition_stable_mean,Y
hist24_transition_stable_min,Y
hist24_transition_stable_std,Y
hist24_transition_stable_sum,Y
hist24_transition_worsen_max,Y
hist24_transition_worsen_mean,Y
hist24_transition_worsen_min,Y
hist24_transition_worsen_std,Y
hist24_transition_worsen_sum,Y
hist3_transition_improve_max,Y
hist3_transition_improve_mean,Y
hist3_transition_improve_min,Y
hist3_transition_improve_std,Y
hist3_transition_improve_sum,Y
hist3_transition_stable_max,Y
hist3_transition_stable_mean,Y
hist3_transition_stable_min,Y
hist3_transition_stable_std,Y
hist3_transition_stable_sum,Y
hist3_transition_worsen_max,Y
hist3_transition_worsen_mean,Y
hist3_transition_worsen_min,Y
hist3_transition_worsen_std,Y
hist3_transition_worsen_sum,Y
hist6_transition_improve_max,Y
hist6_transition_improve_mean,Y
hist6_transition_improve_min,Y
hist6_transition_improve_std,Y
hist6_transition_improve_sum,Y
hist6_transition_stable_max,Y
hist6_transition_stable_mean,Y
hist6_transition_stable_min,Y
hist6_transition_stable_std,Y
hist6_transition_stable_sum,Y
hist6_transition_worsen_max,Y
hist6_transition_worsen_mean,Y
hist6_transition_worsen_min,Y
hist6_transition_worsen_std,Y
hist6_transition_worsen_sum,Y
median_ratio_dpd_os,Y
median_ratio_os_plafon,Y
median_ratio_overdue_os,Y
median_ratio_overdue_plafon,Y
median_ratio_unused_plafon,Y
